person_id,position,years,team,b_games,b_ab,b_pa,b_h,b_bb,b_hbp,b_sf,b_tb,b_so,b_hr,b_war,b_wpa_bat,b_leverage_index_avg,b_wpa_li_adjusted,b_clutch
soto--003jua,OF,8,WSN,1096.0000,3857.0000,4803.0000,1086.0000,896.0000,19.0000,26.0000,2049.0000,833.0000,244.0000,42.6000,29.0450,0.9691,36.4610,-6.4430
spring001geo,OF,10,HOU,1265.0000,4872.0000,5579.0000,1305.0000,587.0000,68.0000,29.0000,2338.0000,1092.0000,257.0000,36.0900,12.7930,0.9726,16.4900,-3.0373
stanto003mic,DH,10,NYY,1018.0000,3707.0000,4219.0000,926.0000,453.0000,29.0000,26.0000,1909.0000,1222.0000,272.0000,21.5000,11.2740,0.9786,15.6440,-4.5138
story-000tre,SS,10,COL,1065.0000,4043.0000,4460.0000,1070.0000,351.0000,44.0000,19.0000,1983.0000,1251.0000,204.0000,34.8500,4.7710,1.0129,10.1230,-5.1908
suarez001eug,3B,10,CIN,1448.0000,5204.0000,5952.0000,1271.0000,593.0000,95.0000,60.0000,2453.0000,1653.0000,308.0000,25.2000,8.4690,1.0022,9.4830,-1.3044
suzuki001sei,OF,4,CHC,532.0000,1995.0000,2265.0000,536.0000,235.0000,13.0000,22.0000,942.0000,564.0000,87.0000,11.0800,3.0280,0.9580,5.9730,-2.8562
swanso001dan,SS,10,ATL,1282.0000,4732.0000,5263.0000,1186.0000,457.0000,28.0000,36.0000,1957.0000,1286.0000,164.0000,28.4300,0.7660,0.9817,1.4540,-0.6597
torres000gle,2B,8,NYY,1033.0000,3813.0000,4301.0000,1006.0000,418.0000,24.0000,39.0000,1652.0000,847.0000,154.0000,18.7100,4.7620,0.9680,5.4650,-0.4797
trout-001mik,CF,10,ANA,996.0000,3519.0000,4326.0000,1010.0000,706.0000,69.0000,30.0000,2033.0000,1016.0000,265.0000,50.3500,29.3980,1.0083,37.1190,-7.2404
tucker001kyl,OF,8,HOU,769.0000,2741.0000,3158.0000,748.0000,363.0000,13.0000,23.0000,1389.0000,498.0000,147.0000,27.3400,15.1960,0.9858,13.1020,2.1378
vazque001chr,C,10,BOS,938.0000,3069.0000,3316.0000,768.0000,198.0000,20.0000,18.0000,1136.0000,623.0000,70.0000,5.9200,-11.1040,0.9795,-10.3380,-0.8199
wallne000mat,OF,4,MIN,273.0000,826.0000,972.0000,191.0000,104.0000,39.0000,3.0000,401.0000,314.0000,51.0000,4.5700,-0.0860,1.0295,3.4060,-3.4808
yelich001chr,LF,10,MIL,1284.0000,4810.0000,5569.0000,1364.0000,686.0000,45.0000,24.0000,2310.0000,1244.0000,213.0000,36.1000,25.3280,0.9894,23.8070,1.4944
