2026-04-30 12:25:23,962 : INFO : collecting all words and their counts
2026-04-30 12:25:23,985 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2026-04-30 12:26:09,715 : INFO : EPOCH 0 - PROGRESS: at 13.30% examples, 75983 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:10,714 : INFO : EPOCH 0 - PROGRESS: at 13.73% examples, 76125 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:11,726 : INFO : EPOCH 0 - PROGRESS: at 14.17% examples, 76297 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:12,754 : INFO : EPOCH 0 - PROGRESS: at 14.59% examples, 76353 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:13,767 : INFO : EPOCH 0 - PROGRESS: at 14.97% examples, 76238 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:14,779 : INFO : EPOCH 0 - PROGRESS: at 15.35% examples, 76338 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:15,809 : INFO : EPOCH 0 - PROGRESS: at 15.73% examples, 76182 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:16,818 : INFO : EPOCH 0 - PROGRESS: at 16.05% examples, 75808 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:17,829 : INFO : EPOCH 0 - PROGRESS: at 16.37% examples, 75487 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:18,835 : INFO : EPOCH 0 - PROGRESS: at 16.76% examples, 75359 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:19,841 : INFO : EPOCH 0 - PROGRESS: at 17.12% examples, 75040 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:20,848 : INFO : EPOCH 0 - PROGRESS: at 17.54% examples, 74995 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:21,871 : INFO : EPOCH 0 - PROGRESS: at 18.00% examples, 75144 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:22,883 : INFO : EPOCH 0 - PROGRESS: at 18.39% examples, 75207 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:23,906 : INFO : EPOCH 0 - PROGRESS: at 18.69% examples, 74861 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:24,916 : INFO : EPOCH 0 - PROGRESS: at 19.04% examples, 74676 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:25,943 : INFO : EPOCH 0 - PROGRESS: at 19.34% examples, 74386 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:26,967 : INFO : EPOCH 0 - PROGRESS: at 19.68% examples, 74220 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:27,985 : INFO : EPOCH 0 - PROGRESS: at 20.07% examples, 74273 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:28,988 : INFO : EPOCH 0 - PROGRESS: at 20.47% examples, 74316 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:29,989 : INFO : EPOCH 0 - PROGRESS: at 20.91% examples, 74260 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:30,990 : INFO : EPOCH 0 - PROGRESS: at 21.33% examples, 74299 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:32,010 : INFO : EPOCH 0 - PROGRESS: at 21.77% examples, 74312 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:33,014 : INFO : EPOCH 0 - PROGRESS: at 22.21% examples, 74389 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:34,015 : INFO : EPOCH 0 - PROGRESS: at 22.72% examples, 74463 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:35,025 : INFO : EPOCH 0 - PROGRESS: at 23.22% examples, 74552 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:36,025 : INFO : EPOCH 0 - PROGRESS: at 23.72% examples, 74595 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:37,036 : INFO : EPOCH 0 - PROGRESS: at 24.05% examples, 74246 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:38,050 : INFO : EPOCH 0 - PROGRESS: at 24.54% examples, 74307 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:39,059 : INFO : EPOCH 0 - PROGRESS: at 25.03% examples, 74377 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:40,071 : INFO : EPOCH 0 - PROGRESS: at 25.53% examples, 74495 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:41,082 : INFO : EPOCH 0 - PROGRESS: at 26.07% examples, 74614 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:42,093 : INFO : EPOCH 0 - PROGRESS: at 26.58% examples, 74699 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:43,111 : INFO : EPOCH 0 - PROGRESS: at 27.08% examples, 74748 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:44,118 : INFO : EPOCH 0 - PROGRESS: at 27.54% examples, 74802 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:45,138 : INFO : EPOCH 0 - PROGRESS: at 28.03% examples, 74893 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:46,142 : INFO : EPOCH 0 - PROGRESS: at 28.48% examples, 74894 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:47,167 : INFO : EPOCH 0 - PROGRESS: at 28.97% examples, 74831 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:48,185 : INFO : EPOCH 0 - PROGRESS: at 29.44% examples, 74844 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:49,202 : INFO : EPOCH 0 - PROGRESS: at 29.93% examples, 74846 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:50,207 : INFO : EPOCH 0 - PROGRESS: at 30.41% examples, 74877 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:51,224 : INFO : EPOCH 0 - PROGRESS: at 30.84% examples, 74868 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:52,233 : INFO : EPOCH 0 - PROGRESS: at 31.34% examples, 74935 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:53,238 : INFO : EPOCH 0 - PROGRESS: at 31.82% examples, 74962 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:26:54,264 : INFO : EPOCH 0 - PROGRESS: at 32.29% examples, 74890 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:55,272 : INFO : EPOCH 0 - PROGRESS: at 32.81% examples, 74930 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:56,283 : INFO : EPOCH 0 - PROGRESS: at 33.34% examples, 74997 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:57,283 : INFO : EPOCH 0 - PROGRESS: at 33.83% examples, 75013 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:58,300 : INFO : EPOCH 0 - PROGRESS: at 34.24% examples, 74843 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:26:59,315 : INFO : EPOCH 0 - PROGRESS: at 34.74% examples, 74871 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:00,353 : INFO : EPOCH 0 - PROGRESS: at 35.12% examples, 74635 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:01,372 : INFO : EPOCH 0 - PROGRESS: at 35.59% examples, 74591 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:02,381 : INFO : EPOCH 0 - PROGRESS: at 36.00% examples, 74429 words/s, in_qsize 1, out_qsize 0
